"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"1741 B Street Liquor","1741 B St","Colorado Springs","CO",80906,"El Paso",,2147483647,,,,,3,664440,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"1741 B Street Liquors Inc","1741 B St","Colorado Springs","CO",80906,"El Paso",,2147483647,,"Byunglin Yoon","President",,2,178200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"A & H Liquor","2535 Delta Dr","Colorado Springs","CO",80910,"El Paso","Male",2147483647,,"Robert Leslie","President",,1,223740,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"A & H Liquors Inc","2535 Delta Dr","Colorado Springs","CO",80910,"El Paso","male",2147483647,,"Robert Lesile","President",,1,485000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Academy Blvd Liquors Inc","1210 N Academy Blvd","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,1,219220,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Academy Liquors","1210 N Academy Blvd","Colorado Springs","CO",80909,"El Paso",,2147483647,,"McKinnley Caldwell","President",,2,48500,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"American Spirits Beverage Whse","3842 N Nevada Ave","Colorado Springs","CO",80907,"El Paso",,2147483647,,"Seong NA","Owner",,2,178200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"American Spirits Liquor","3842 N Nevada Ave","Colorado Springs","CO",80907,"El Paso",,2147483647,,,,,3,684780,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Aries Liquors","1873 Peterson Rd","Colorado Springs","CO",80915,"El Paso","male",2147483647,,"Francis Fish","Owner",,2,176400,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Arvada Liquors","141 N Spruce St","Colorado Springs","CO",80905,"El Paso","male",2147483647,,"Charles Redmond","Owner",,1,618000,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Aspen Liquors","3857 E Pikes Peak Ave","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,3,644100,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Astro Liquors","3865 Astrozon Blvd","Colorado Springs","CO",80916,"El Paso","Male",2147483647,,"Marcus Hong","Owner",,2,447480,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
"Astro Liquors Inc","3865 Astrozon Blvd","Colorado Springs","CO",80916,"El Paso",,2147483647,,,,,3,259200,"Miscellaneous Retail (Stores)",24,"Liquor Stores",
