"CompanyName","Address","City","State","Zip","County","Gender","PhoneNumber","FaxNumber","CompanyContact","CompanyContactTitle","WebSite","TotalEmployees","AnnualSales","Industry","SIC_Code","SIC_Code_Description","GenericCompanyEmailAddress"
"1801 N Union Corporation","15 S Weber St Ste C","Colorado Springs","CO",80903,"El Paso","male",2147483647,,"Paul Conover","President",,2,217150,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"19 North Tejon Building","19 N Tejon St # 200","Colorado Springs","CO",80903,"El Paso","Male",2147483647,,"Chad Palmer","Owner",,3,389940,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"1st Capital Realty Inc","106 N Circle Dr","Colorado Springs","CO",80909,"El Paso","male",2147483647,,"Matthew Haynes","President",,13,565600,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"20th Century Classics","5482 La Porte Dr","Colorado Springs","CO",80918,"El Paso","male",2147483647,,"Patrick Dowling","Principal",,2,105600,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"2431 Group","22 S Tejon St","Colorado Springs","CO",80903,"El Paso","Male",2147483647,7196362822,"Frank A O'Donnell","Manager",,4,552080,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"2865 Richmond LLC","325 Bonfoy Ave","Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,2,105600,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"717 Properties","717 N Tejon St","Colorado Springs","CO",80903,"El Paso",,2147483647,,,,,4,519920,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"A Fifth 2 Fell/Park Ave Prpts","5480 Tomah Dr","Colorado Springs","CO",80918,"El Paso","female",2147483647,,"Sandra Daniels","Owner",,5,343000,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"A Team Assoc","6349 Delmonico Dr","Colorado Springs","CO",80919,"El Paso",,2147483647,,,,,1,135340,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"A To Z Realty","904 Shrider Rd","Colorado Springs","CO",80920,"El Paso","Male",2147483647,,"Aaron Zemler","Owner",,1,138020,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"A-1 Real Estate Professionals","318 Boulder Pl","Colorado Springs","CO",80905,"El Paso","Male",2147483647,7194717078,"Miguel Silva","Owner","www.buysellhomes.com",5,676700,"Real Estate (Housing)",19,"Real Estate Agents And Manager","S.Miguel@buysellhomes.com"
"A-Pro","4350 Mcgrew Cir","Colorado Springs","CO",80911,"El Paso","Male",2147483647,,"Ray Grubb","Owner",,2,257280,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"A-Royal Realty Inc","495 Woodmen Rd","Colorado Springs","CO",80919,"El Paso","Female",2147483647,7192620399,"Debi Mittelsteadt","Owner",,1,128640,"Real Estate (Housing)",19,"Real Estate Agents And Manager","ted.mentry@ppar.com"
"Aaaaa Realty & Investment","1935 Carmel Dr APT 206","Colorado Springs","CO",80910,"El Paso",,2147483647,,,,,2,111100,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"Aalto & Co Real Estate","4301 Ridgecrest Dr","Colorado Springs","CO",80918,"El Paso","Male",2147483647,,"Pekka Aalto","Owner","www.aaltoco.com",1,128640,"Real Estate (Housing)",19,"Real Estate Agents And Manager","Pekka@aaltoco.com"
"Aames Realty Inc","125 N Parkside Dr # 303b","Colorado Springs","CO",80909,"El Paso","Female",2147483647,7192270486,"Jennifer Ames","Manager",,2,276040,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"Aascent Valuations",,"Colorado Springs","CO",80917,"El Paso",,2147483647,,,,,4,541360,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"ABC","4730 Shady Ln","Colorado Springs","CO",80908,"El Paso","male",2147483647,,"Donald Stark","President",,3,172800,"Real Estate (Housing)",19,"Real Estate Agents And Manager","sandra.stark@ppar.com"
"ABC Affordable Brokerage Co",,"Colorado Springs","CO",80909,"El Paso",,2147483647,,,,,4,541360,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"Absolute Appraisal Assoc","7645 N Union Blvd # 421","Colorado Springs","CO",80920,"El Paso","Female",2147483647,,"Marcia Zuidema","Owner",,1,138020,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"Academy Appraisal & RE Svcs","3945 W Woodmen Rd","Colorado Springs","CO",80919,"El Paso","male",2147483647,,"Gary Eisenbraun","Owner",,3,176400,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
"Academy Appraisal & Real Est","3945 W Woodmen Rd","Colorado Springs","CO",80919,"El Paso","Male",2147483647,,"Gary Eisenbraun","Owner",,1,135340,"Real Estate (Housing)",19,"Real Estate Agents And Manager",
